170626,4468
230587,4333
260757,4335
290572,4470
380642,4300
440616,4439
470642,4381
500581,4336
530600,4309
560549,4332
590510,4446
620523,4327
650591,4401
710504,4325
740504,4331
800504,4318
860725,4365
890674,4394
920664,4458
950555,4400
1070700,4419
1130533,4479
1160504,4335
1190542,4375
140548,4449
170612,4468
200666,4314
230545,4333
260529,4335
290704,4470
320535,4331
350666,4425
380609,4300
410541,4370
440561,4439
470567,4381
500686,4336
530525,4309
560526,4332
590503,4446
620503,4327
650612,4401
710593,4325
740676,4331
770625,4417
800512,4318
830545,4356
860522,4365
890625,4394
920586,4458
950503,4400
1010538,4399
1040529,4378
1070596,4419
1130583,4479
1160631,4335
