111120,4359
141102,4449
201139,4314
231053,4333
261160,4335
291265,4470
321250,4331
351022,4425
470865,4381
500995,4336
530707,4309
590940,4446
620911,4327
650946,4401
680926,4374
740877,4331
860908,4365
890940,4394
920653,4458
1010866,4399
1070794,4419
1100774,4358
1130832,4479
1160670,4335
140865,4449
171062,4468
200809,4314
230878,4333
290843,4470
320988,4331
350726,4425
381008,4300
410867,4370
471242,4381
500792,4336
530908,4309
561110,4332
621040,4327
680765,4374
710664,4325
740735,4331
801028,4318
831093,4356
861024,4365
921014,4458
950953,4400
980750,4459
1010758,4399
1070992,4419
1100942,4358
1160843,4335
1190985,4375
