111035,4359
141219,4449
231141,4333
351043,4425
410955,4370
501230,4336
561236,4332
591059,4446
620908,4327
651164,4401
711104,4325
741269,4331
801099,4318
831018,4356
861056,4365
891086,4394
921106,4458
951108,4400
981043,4459
1010882,4399
1041004,4378
1071063,4419
1101158,4358
1130992,4479
1190999,4375
110993,4359
141193,4449
171158,4468
261009,4335
290997,4470
321112,4331
351191,4425
381144,4300
411315,4370
441052,4439
530923,4309
561150,4332
591280,4446
621121,4327
650949,4401
681047,4374
711074,4325
741073,4331
801253,4318
831156,4356
861098,4365
891263,4394
950891,4400
980790,4459
1010966,4399
1041079,4378
1071056,4419
1101020,4358
1131170,4479
1161088,4335
1191082,4375
