110867,4359
200992,4314
230896,4333
261134,4335
291310,4470
320912,4331
350865,4425
380914,4300
440794,4439
470904,4381
500967,4336
530761,4309
561096,4332
590690,4446
620867,4327
681051,4374
741148,4331
771080,4417
800781,4318
830747,4356
860810,4365
890931,4394
920944,4458
980940,4459
1040965,4378
1070962,4419
1160644,4335
1191023,4375
141149,4449
230806,4333
260894,4335
290662,4470
321005,4331
350973,4425
411077,4370
440738,4439
471216,4381
500788,4336
561133,4332
590979,4446
620831,4327
650734,4401
680945,4374
740832,4331
770993,4417
831056,4356
861077,4365
890681,4394
921116,4458
980706,4459
1040831,4378
1070817,4419
1100864,4358
1160880,4335
1190872,4375
