140868,4449
171128,4468
201019,4314
291592,4470
320882,4331
350837,4425
471036,4381
501047,4336
561008,4332
590865,4446
620816,4327
650988,4401
680805,4374
770842,4417
800873,4318
830954,4356
860941,4365
920858,4458
1010831,4399
1040814,4378
1070941,4419
1100896,4358
1130929,4479
1190816,4375
141012,4449
170715,4468
200617,4314
230677,4333
260726,4335
291042,4470
350939,4425
411010,4370
440724,4439
471046,4381
500991,4336
560939,4332
590845,4446
680915,4374
710875,4325
740933,4331
800932,4318
830671,4356
860911,4365
891092,4394
920804,4458
950817,4400
1010772,4399
1040769,4378
1070858,4419
1100908,4358
1131117,4479
1160713,4335
1190845,4375
