110629,4359
200504,4314
260510,4335
290572,4470
320594,4331
380610,4300
530504,4309
680504,4374
740587,4331
800632,4318
860635,4365
890510,4394
920542,4458
1040629,4378
1130603,4479
1160587,4335
110590,4359
140513,4449
170503,4468
200564,4314
230503,4333
260599,4335
290596,4470
320644,4331
350567,4425
440526,4439
500509,4336
530551,4309
560519,4332
620509,4327
650548,4401
710503,4325
800714,4318
830631,4356
860618,4365
890524,4394
920711,4458
980513,4459
1010586,4399
1040606,4378
1070537,4419
1100516,4358
1190503,4375
